exercise_name,muscle_groups
dumbbell bench press,"chest, shoulders, triceps"
jumping rope,"quadriceps, hamstrings, calves"
seated barbell shoulder press,"shoulders, triceps, upper back"
ez-bar spider curl,"biceps, forearms"
smith machine shrug,"traps, neck, shoulders"
smith machine calf raise,"calves, hamstrings, quadriceps"
romanian deadlift from deficit,"hamstrings, glutes, calves"
power snatch,"hamstrings, glutes, calves"
pushups,"chest, shoulders, triceps"
barbell walking lunge,"quadriceps, hamstrings, calves"
front squat,"quadriceps, hamstrings, calves"
spider crawl,"abdominals, core, obliques"
power clean from blocks,"hamstrings, glutes, calves"
single leg push-off,"quadriceps, hamstrings, calves"
hip circles,abductors
reverse-grip bent-over row,middle back
wrist curl,"forearms, biceps"
back extension,"lower back, glutes, hamstrings"
close-grip bench press,"chest, shoulders, triceps"
cocoons,"abdominals, core, obliques"
cross-body crunch,"abdominals, core, obliques"
dumbbell flyes,"chest, shoulders, triceps"
hammer curls,"biceps, forearms"
incline dumbbell bench press,"chest, shoulders, triceps"
low-cable cross-over,"chest, shoulders, triceps"
single-arm high-cable side bend,"abdominals, core, obliques"
seated dumbbell press,"shoulders, triceps, upper back"
standing dumbbell shoulder press,"shoulders, triceps, upper back"
single leg push-off,"quadriceps, hamstrings, calves"
hip circles,abductors
reverse-grip bent-over row,middle back
seated two-arm palms-up low-pulley wrist curl,"forearms, biceps"
back extension,"lower back, glutes, hamstrings"
close-grip bench press,"chest, shoulders, triceps"
cocoons,"abdominals, core, obliques"
cross-body crunch,"abdominals, core, obliques"
dumbbell flyes,"chest, shoulders, triceps"
hammer curls,"biceps, forearms"
incline dumbbell bench press,"chest, shoulders, triceps"
seated dumbbell press,"shoulders, triceps, upper back"
standing dumbbell shoulder press,"shoulders, triceps, upper back"
ez-bar curl,"biceps, forearms"
olympic squat,"quadriceps, hamstrings, calves"
natural glute ham raise,"hamstrings, glutes, calves"
axle deadlift,"lower back, glutes, hamstrings"
zottman curl,"biceps, forearms"
glute ham raise-,"hamstrings, glutes, calves"
single-arm lateral raise,"shoulders, triceps, upper back"
power partials,"shoulders, triceps, upper back"
leverage shrug,"traps, neck, shoulders"
cable v-bar push-down,"triceps, shoulders, chest"
wrist roller,"forearms, biceps"
incline dumbbell reverse fly,"shoulders, triceps, upper back"
stair climber,"quadriceps, hamstrings, calves"
elbow-to-knee crunch,"abdominals, core, obliques"
kettlebell pistol squat,"quadriceps, hamstrings, calves"
overhead dumbbell front raise,"shoulders, triceps, upper back"
biceps curl to shoulder press,"biceps, forearms"
weighted bench dip,"triceps, shoulders, chest"
barbell hip thrust,"glutes, hamstrings, lower back"
forward lunge,"quadriceps, hamstrings, calves"
barbell bench press,"chest, shoulders, triceps"
chest dip,"chest, shoulders, triceps"
seated dumbbell shoulder press,"shoulders, triceps, upper back"
barbell curl,"biceps, forearms"
ez-bar skullcrusher,"triceps, shoulders, chest"
one-arm dumbbell row,middle back
alternating standing shoulder press,"shoulders, triceps, upper back"
concentration curl,"biceps, forearms"
decline crunch,"abdominals, core, obliques"
decline dumbbell flyes,"chest, shoulders, triceps"
single-arm incline rear delt raise,"shoulders, triceps, upper back"
alternating dumbbell front raise,"shoulders, triceps, upper back"
hanging toes-to-bar,"abdominals, core, obliques"
narrow-stance squat,"quadriceps, hamstrings, calves"
kneeling cable oblique crunch,"abdominals, core, obliques"
reverse grip triceps pushdown,"triceps, shoulders, chest"
bear crawl sled drag,"quadriceps, hamstrings, calves"
rocky pull-ups/pulldowns,"lats, middle back, biceps"
snatch-grip behind-the-neck overhead press,"shoulders, triceps, upper back"
box squat with bands,"quadriceps, hamstrings, calves"
flexor incline dumbbell curls,"biceps, forearms"
seated one-arm dumbbell palms-up wrist curl,"forearms, biceps"
thigh adductor,adductors
machine bicep curl,"biceps, forearms"
seated palms-down barbell wrist curl,"forearms, biceps"
single-arm incline rear delt raise,"shoulders, triceps, upper back"
alternating dumbbell front raise,"shoulders, triceps, upper back"
hanging toes-to-bar,"abdominals, core, obliques"
narrow-stance squat,"quadriceps, hamstrings, calves"
kneeling cable oblique crunch,"abdominals, core, obliques"
reverse grip triceps pushdown,"triceps, shoulders, chest"
bear crawl sled drag,"quadriceps, hamstrings, calves"
rocky pull-ups/pulldowns,"lats, middle back, biceps"
snatch-grip behind-the-neck overhead press,"shoulders, triceps, upper back"
box squat with bands,"quadriceps, hamstrings, calves"
flexor incline dumbbell curls,"biceps, forearms"
seated one-arm dumbbell palms-up wrist curl,"forearms, biceps"
machine bicep curl,"biceps, forearms"
seated palms-down barbell wrist curl,"forearms, biceps"
car driver,"shoulders, triceps, upper back"
alternating deltoid raise,"shoulders, triceps, upper back"
hanging oblique knee raise,"abdominals, core, obliques"
bodyweight flyes,"chest, shoulders, triceps"
standing calf raises,"calves, hamstrings, quadriceps"
push-ups,"triceps, shoulders, chest"
one-arm long bar row,middle back
overhead cable curl,"biceps, forearms"
single-dumbbell front raise,"shoulders, triceps, upper back"
incline cable chest fly,"chest, shoulders, triceps"
single-leg depth squat,"quadriceps, hamstrings, calves"
dumbbell suitcase crunch,"abdominals, core, obliques"
plate twist,"abdominals, core, obliques"
single-leg cable hip extension,"glutes, hamstrings, lower back"
weighted jump squat,"quadriceps, hamstrings, calves"
squat with chains,"quadriceps, hamstrings, calves"
gorilla chin/crunch,"abdominals, core, obliques"
kneeling cable triceps extension,"triceps, shoulders, chest"
kneeling cable crunch,"abdominals, core, obliques"
bicycling,"quadriceps, hamstrings, calves"
arnold press,"shoulders, triceps, upper back"
weighted crunches,"abdominals, core, obliques"
single-arm cable triceps extension,"triceps, shoulders, chest"
barbell roll-out,"abdominals, core, obliques"
kneeling cable crunch,"abdominals, core, obliques"
exercise ball pull-in,"abdominals, core, obliques"
hanging leg raise,"abdominals, core, obliques"
barbell ab rollout,"abdominals, core, obliques"
barbell squat,"quadriceps, hamstrings, calves"
decline barbell bench press,"chest, shoulders, triceps"
dumbbell bicep curl,"biceps, forearms"
dumbbell goblet squat,"quadriceps, hamstrings, calves"
dumbbell squat,"quadriceps, hamstrings, calves"
barbell front squat,"quadriceps, hamstrings, calves"
close-grip pull-down,"lats, middle back, biceps"
triceps pushdown,"triceps, shoulders, chest"
side-to-side box skip,"quadriceps, hamstrings, calves"
smith machine shoulder press,"shoulders, triceps, upper back"
seated triceps press,"triceps, shoulders, chest"
dumbbell lying supination,"forearms, biceps"
pull-up,"lats, middle back, biceps"
wide-grip bench press,"chest, shoulders, triceps"
close-grip ez-bar curl,"biceps, forearms"
t-bar row,middle back
bent over two-arm long bar row,middle back
muscle up,"lats, middle back, biceps"
machine shoulder press,"shoulders, triceps, upper back"
incline ez-bar skullcrusher,"triceps, shoulders, chest"
alternating sit-through with crunch,middle back
wide-grip decline barbell bench press,"chest, shoulders, triceps"
rower,middle back
snatch deadlift,"hamstrings, glutes, calves"
front plate raise,"shoulders, triceps, upper back"
decline close-grip bench to skull crusher,"triceps, shoulders, chest"
lying leg curls,"hamstrings, glutes, calves"
cross-body hammer curl,"biceps, forearms"
shotgun row,"lats, middle back, biceps"
ab roller,"abdominals, core, obliques"
reverse-grip incline dumbbell bench press,"chest, shoulders, triceps"
leg press,"quadriceps, hamstrings, calves"
stiff-legged dumbbell deadlift,"hamstrings, glutes, calves"
cable crossover,"chest, shoulders, triceps"
barbell incline bench press,"chest, shoulders, triceps"
incline dumbbell flyes,"chest, shoulders, triceps"
seated cable rows,middle back
tricep dumbbell kickback,"triceps, shoulders, chest"
otis-up,"abdominals, core, obliques"
mountain climber,"abdominals, core, obliques"
ab bicycle,"abdominals, core, obliques"
barbell forward lunge,"quadriceps, hamstrings, calves"
3/4 sit-up,"abdominals, core, obliques"
exercise ball leg curl,"hamstrings, glutes, calves"
glute bridge,"glutes, hamstrings, lower back"
close-grip front lat pulldown,"lats, middle back, biceps"
dip machine,"triceps, shoulders, chest"
incline dumbbell row,middle back
dumbbell lunges,"quadriceps, hamstrings, calves"
single-arm standing shoulder press,"shoulders, triceps, upper back"
preacher curl,"biceps, forearms"
reverse crunch,"abdominals, core, obliques"
standing dumbbell triceps extension,"triceps, shoulders, chest"
elliptical trainer,"quadriceps, hamstrings, calves"
bodyweight squat,"quadriceps, hamstrings, calves"
bent over two-dumbbell row with palms in,middle back
hex-bar deadlift,"quadriceps, hamstrings, calves"
narrow-stance leg press,"quadriceps, hamstrings, calves"
single-leg glute bridge,"glutes, hamstrings, lower back"
barbell curls lying against an incline,"biceps, forearms"
standing hip circles,abductors
clam,abductors
narrow stance hack squats,"quadriceps, hamstrings, calves"
seated close-grip concentration barbell curl,"biceps, forearms"
dumbbell lying pronation,"forearms, biceps"
smith machine box squat,"quadriceps, hamstrings, calves"
drop push,"chest, shoulders, triceps"
upside-down pull-up,middle back
reverse barbell preacher curls,"biceps, forearms"
close-grip ez-bar bench press,"chest, shoulders, triceps"
incline push-up,"chest, shoulders, triceps"
hyperextensions with no hyperextension bench,"lower back, glutes, hamstrings"
dumbbell front raise,"shoulders, triceps, upper back"
parallel bar dip,"triceps, shoulders, chest"
stairmaster,"quadriceps, hamstrings, calves"
double leg butt kick,"quadriceps, hamstrings, calves"
groiners,adductors
neck press,"chest, shoulders, triceps"
broad jump,"quadriceps, hamstrings, calves"
machine squat,"quadriceps, hamstrings, calves"
v-bar pull-up,"lats, middle back, biceps"
ring dip,"triceps, shoulders, chest"
standing one-arm cable curl,"biceps, forearms"
burpee,"quadriceps, hamstrings, calves"
double-arm triceps kick-back,"triceps, shoulders, chest"
dumbbell reverse lunge,"quadriceps, hamstrings, calves"
seated calf raise,"calves, hamstrings, quadriceps"
standing dumbbell shrug,"traps, neck, shoulders"
calf press,"calves, hamstrings, quadriceps"
barbell step-up,"quadriceps, hamstrings, calves"
feet-elevated bench dip,"triceps, shoulders, chest"
bent over barbell row,middle back
crunches,"abdominals, core, obliques"
dumbbell alternate bicep curl,"biceps, forearms"
bent-over dumbbell rear delt row,"shoulders, triceps, upper back"
external rotation with cable,"shoulders, triceps, upper back"
handstand push-up,"shoulders, triceps, upper back"
single-arm dumbbell preacher curl,"biceps, forearms"
step-up with knee raise,"glutes, hamstrings, lower back"
smith machine back squat,"quadriceps, hamstrings, calves"
incline dumbbell front raise,"shoulders, triceps, upper back"
alternate incline dumbbell curl,"biceps, forearms"
standing dumbbell upright row,"traps, neck, shoulders"
single-arm cable front raise,"shoulders, triceps, upper back"
two-arm kettlebell military press,"shoulders, triceps, upper back"
incline cable chest press,"chest, shoulders, triceps"
rope climb,"lats, middle back, biceps"
single-arm dumbbell preacher curl,"biceps, forearms"
step-up with knee raise,"glutes, hamstrings, lower back"
incline dumbbell front raise,"shoulders, triceps, upper back"
rope climb,"lats, middle back, biceps"
trail running/walking,"quadriceps, hamstrings, calves"
standing bradford press,"shoulders, triceps, upper back"
neutral-grip dumbbell bench press,"chest, shoulders, triceps"
cable chest press,"chest, shoulders, triceps"
standing concentration curl,"biceps, forearms"
wide-grip rear pull-up,"lats, middle back, biceps"
kettlebell pass-through lunge,"hamstrings, glutes, calves"
hands-elevated push-up,"chest, shoulders, triceps"
deadlift with bands,"lower back, glutes, hamstrings"
straight-arm rope pull-down,"lats, middle back, biceps"
barbell shoulder press,"shoulders, triceps, upper back"
power clean,"hamstrings, glutes, calves"
hang snatch,"hamstrings, glutes, calves"
kettlebell sumo deadlift high pull,"traps, neck, shoulders"
calf-machine shoulder shrug,"traps, neck, shoulders"
bench press,"triceps, shoulders, chest"
rocking standing calf raise,"calves, hamstrings, quadriceps"
goblet squat,"quadriceps, hamstrings, calves"
behind-the-head skullcrusher,"triceps, shoulders, chest"
seated palms-up wrist curl,"forearms, biceps"
reverse cable curl,"biceps, forearms"
dumbbell side bend,"abdominals, core, obliques"
lat pull-down,"lats, middle back, biceps"
side lateral raise,"shoulders, triceps, upper back"
alternating incline dumbbell biceps curl,"biceps, forearms"
kettlebell one-legged deadlift,"hamstrings, glutes, calves"
alternate hammer curl,"biceps, forearms"
decline push-up,"chest, shoulders, triceps"
captain's chair knee raise,"abdominals, core, obliques"
triceps pushdown,"triceps, shoulders, chest"
low cable overhead triceps extension,"triceps, shoulders, chest"
single-arm cable cross-over,"chest, shoulders, triceps"
seated dumbbell biceps curl,"biceps, forearms"
battle ropes,"shoulders, triceps, upper back"
dead bug reach,"abdominals, core, obliques"
deadlift with chains,"lower back, glutes, hamstrings"
rope crunch,"abdominals, core, obliques"
dumbbell wrist curl,"forearms, biceps"
kettlebell thruster,"glutes, hamstrings, lower back"
single-arm push-up,"chest, shoulders, triceps"
band hip adductions,adductors
single-arm kettlebell clean,"hamstrings, glutes, calves"
preacher hammer dumbbell curl,"biceps, forearms"
alternating kettlebell press,"shoulders, triceps, upper back"
split squat with dumbbells,"quadriceps, hamstrings, calves"
standing one-arm dumbbell curl,"biceps, forearms"
standing olympic plate hand squeeze,"forearms, biceps"
sledgehammer swing,"abdominals, core, obliques"
kneeling squat,"glutes, hamstrings, lower back"
single-arm kettlebell snatch,"shoulders, triceps, upper back"
close-grip barbell curl,"biceps, forearms"
box jump,"hamstrings, glutes, calves"
standing cable crunch,"abdominals, core, obliques"
leverage incline chest press,"chest, shoulders, triceps"
standing barbell overhead triceps extension,"triceps, shoulders, chest"
lying cable triceps extension,"triceps, shoulders, chest"
kettlebell turkish get-up,"shoulders, triceps, upper back"
crunch - hands overhead,"abdominals, core, obliques"
cable internal rotation,"shoulders, triceps, upper back"
leg extensions,"quadriceps, hamstrings, calves"
standing one-arm dumbbell curl,"biceps, forearms"
standing olympic plate hand squeeze,"forearms, biceps"
sledgehammer swing,"abdominals, core, obliques"
single-arm kettlebell snatch,"shoulders, triceps, upper back"
box jump,"hamstrings, glutes, calves"
standing cable crunch,"abdominals, core, obliques"
standing barbell overhead triceps extension,"triceps, shoulders, chest"
lying cable triceps extension,"triceps, shoulders, chest"
close push-up to wide push-up,"chest, shoulders, triceps"
single-arm dumbbell triceps extension,"triceps, shoulders, chest"
butterfly,"chest, shoulders, triceps"
decline dumbbell bench press,"chest, shoulders, triceps"
v-up,"abdominals, core, obliques"
seated face pull,"shoulders, triceps, upper back"
barbell bulgarian split squat,"quadriceps, hamstrings, calves"
reverse-grip lat pull-down,"lats, middle back, biceps"
standing biceps cable curl,"biceps, forearms"
single-arm cable seated row,middle back
single-arm kettlebell row,"chest, shoulders, triceps"
scissors jump,"quadriceps, hamstrings, calves"
wide stance stiff legs,"hamstrings, glutes, calves"
rack pull with bands,"lower back, glutes, hamstrings"
drag curl,"biceps, forearms"
close push-up to wide push-up,"chest, shoulders, triceps"
single-arm dumbbell triceps extension,"triceps, shoulders, chest"
butterfly,"chest, shoulders, triceps"
seated face pull,"shoulders, triceps, upper back"
rack pull with bands,"lower back, glutes, hamstrings"
drag curl,"biceps, forearms"
hang clean - below the knees,"quadriceps, hamstrings, calves"
decline oblique crunch,"abdominals, core, obliques"
dumbbell external shoulder rotation,"shoulders, triceps, upper back"
single-arm bent-over cable rear delt fly,"shoulders, triceps, upper back"
clean,"hamstrings, glutes, calves"
single-arm incline lateral raise,"shoulders, triceps, upper back"
decline bar press sit-up,"abdominals, core, obliques"
barbell rear delt bent-over row,"shoulders, triceps, upper back"
kettlebell alternating renegade row,middle back
bosu ball cable crunch with side bends,"abdominals, core, obliques"
stomach vacuum,"abdominals, core, obliques"
hammer grip incline dumbbell bench press,"chest, shoulders, triceps"
wide-grip hands-elevated push-up,"chest, shoulders, triceps"
decline dumbbell triceps extension,"triceps, shoulders, chest"
jumping jack-,"quadriceps, hamstrings, calves"
push-ups with feet on an exercise ball,"chest, shoulders, triceps"
seated cable shoulder press,"shoulders, triceps, upper back"
barbell hack squat,"quadriceps, hamstrings, calves"
feet-elevated push-up,"chest, shoulders, triceps"
good morning,"hamstrings, glutes, calves"
leverage chest press,"chest, shoulders, triceps"
gironda sternum chins,"lats, middle back, biceps"
exercise ball crunch,"abdominals, core, obliques"
seated rear delt fly,"shoulders, triceps, upper back"
standing face pull,"shoulders, triceps, upper back"
glute ham raise,"hamstrings, glutes, calves"
russian twist,"abdominals, core, obliques"
seated flat bench leg pull-in,"abdominals, core, obliques"
barbell shrug,"traps, neck, shoulders"
seated flat bench leg pull-in,"abdominals, core, obliques"
barbell shrug,"traps, neck, shoulders"
standing cable rear delt row,"shoulders, triceps, upper back"
flat bench lying leg raise,"abdominals, core, obliques"
hack squat,"quadriceps, hamstrings, calves"
dumbbell skullcrusher,"triceps, shoulders, chest"
man-maker,middle back
pallof press,"abdominals, core, obliques"
knees tucked crunch,"abdominals, core, obliques"
straight-arm dumbbell pull-over,"chest, shoulders, triceps"
arms-crossed jump squat,"quadriceps, hamstrings, calves"
decline smith press,"chest, shoulders, triceps"
band skull crusher,"triceps, shoulders, chest"
side wrist pull,"shoulders, triceps, upper back"
isometric wipers,"chest, shoulders, triceps"
skating,"quadriceps, hamstrings, calves"
cable cross-over,"chest, shoulders, triceps"
treadmill running,"quadriceps, hamstrings, calves"
one arm pronated dumbbell triceps extension,"triceps, shoulders, chest"
single-arm kettlebell clean and jerk,"shoulders, triceps, upper back"
side to side chins,"lats, middle back, biceps"
incline dumbbell bench with palms facing in,"chest, shoulders, triceps"
seated palms-down wrist curl,"forearms, biceps"
standing leg swing,"hamstrings, glutes, calves"
clock push-up,"chest, shoulders, triceps"
machine seated row,"lats, middle back, biceps"
lying face up plate neck resistance,neck
weighted sissy squat,"quadriceps, hamstrings, calves"
jog in place,"quadriceps, hamstrings, calves"
dumbbell raise,"shoulders, triceps, upper back"
palms-down dumbbell wrist curl over a bench,"forearms, biceps"
one arm supinated dumbbell triceps extension,"triceps, shoulders, chest"
jog in place,"quadriceps, hamstrings, calves"
dumbbell raise,"shoulders, triceps, upper back"
palms-down dumbbell wrist curl,"forearms, biceps"
one arm supinated dumbbell triceps extension,"triceps, shoulders, chest"
stationary bike,"quadriceps, hamstrings, calves"
dumbbell bent-over row,middle back
barbell thruster,"quadriceps, hamstrings, calves"
flutter kicks,"glutes, hamstrings, lower back"
dumbbell sumo squat,"quadriceps, hamstrings, calves"
barbell upright row,"shoulders, triceps, upper back"
superman,"lower back, glutes, hamstrings"
straight-arm pulldown,"lats, middle back, biceps"
barbell stiff-legged deadlift,"hamstrings, glutes, calves"
standing one-arm dumbbell triceps extension,"triceps, shoulders, chest"
smith machine bench press,"chest, shoulders, triceps"
seated side lateral raise,"shoulders, triceps, upper back"
dumbbell lying rear lateral raise,"shoulders, triceps, upper back"
dumbbell preacher curl,"biceps, forearms"
front raise and pullover,"chest, shoulders, triceps"
dumbbell seated box jump,"quadriceps, hamstrings, calves"
middle back shrug,middle back
incline face-down bar front raise,"shoulders, triceps, upper back"
butt-ups,"abdominals, core, obliques"
band good morning,"hamstrings, glutes, calves"
bodyweight reverse lunge,"quadriceps, hamstrings, calves"
seated one-arm dumbbell palms-down wrist curl,"forearms, biceps"
glute kickback,"glutes, hamstrings, lower back"
treadmill jogging,"quadriceps, hamstrings, calves"
plate pinch,"forearms, biceps"
yates row reverse grip,middle back
linear acceleration wall drill,"hamstrings, glutes, calves"
reverse-grip bench press,"triceps, shoulders, chest"
leverage decline chest press,"chest, shoulders, triceps"
chain handle extension,"triceps, shoulders, chest"
running,"quadriceps, hamstrings, calves"
jogging,"quadriceps, hamstrings, calves"
sprints,"quadriceps, hamstrings, calves"
chest fly,"chest, shoulders, triceps"
tricep extension,triceps
